id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_newConfirm,total_newDead,total_newHeal,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
420000,2021-05-15 08:31:53,湖北,68158,0,63640,4512,0,0,,,,0,,0,0,,0
810000,2021-05-15 18:22:05,香港,11821,0,11521,210,0,0,,,,1,,10,0,,-6
440000,2021-05-15 09:06:55,广东,2387,0,2331,8,0,0,,,,1,,7,0,,-6
310000,2021-05-15 08:31:53,上海,2029,0,1967,7,0,0,,,,3,,3,0,,0
230000,2021-05-15 08:31:53,黑龙江,1610,0,1597,13,0,0,,,,0,,0,0,,0
700000,2021-05-15 18:22:04,台湾,1475,0,1116,12,0,0,,,,219,,14,0,,205
330000,2021-05-15 08:31:53,浙江,1347,0,1323,1,0,0,,,,0,,0,0,,0
130000,2021-05-15 08:31:53,河北,1317,0,1310,7,0,0,,,,0,,0,0,,0
410000,2021-05-15 08:31:53,河南,1312,0,1289,22,0,0,,,,0,,0,0,,0
110000,2021-05-15 08:31:53,北京,1057,0,1046,9,0,0,463.0,0.0,461.0,0,,0,0,,0
430000,2021-05-15 08:31:53,湖南,1046,0,1038,4,0,0,,,,0,,0,0,,0
510000,2021-05-15 09:06:54,四川,1000,0,970,3,0,0,,,,1,,2,0,,-1
340000,2021-05-15 08:31:53,安徽,999,0,988,6,0,0,,,,3,,0,0,,3
650000,2021-05-15 08:31:53,新疆,980,0,977,3,0,0,,,,0,,0,0,,0
360000,2021-05-15 08:31:53,江西,937,0,936,1,0,0,,,,0,,0,0,,0
370000,2021-05-15 08:31:53,山东,882,0,871,7,0,0,,,,1,,0,0,,1
320000,2021-05-15 08:31:53,江苏,721,0,713,0,0,0,,,,0,,0,0,,0
610000,2021-05-15 10:11:54,陕西,599,0,584,3,0,0,,,,2,,0,0,,2
500000,2021-05-15 08:31:53,重庆,598,0,586,6,0,0,,,,0,,1,0,,-1
350000,2021-05-15 10:01:55,福建,598,0,579,1,0,0,,,,0,,3,0,,-3
220000,2021-05-15 08:31:53,吉林,573,0,570,3,0,0,,,,0,,0,0,,0
210000,2021-05-15 19:37:09,辽宁,415,0,406,2,0,0,,,,7,,0,0,,7
120000,2021-05-15 08:31:53,天津,388,0,379,3,0,0,,,,0,,0,0,,0
150000,2021-05-15 08:31:53,内蒙古,383,0,379,1,0,0,,,,0,,0,0,,0
530000,2021-05-15 08:31:53,云南,348,0,311,2,0,0,,,,0,,2,0,,-2
450000,2021-05-15 08:31:53,广西,275,0,267,2,0,0,,,,0,,0,0,,0
140000,2021-05-15 08:31:53,山西,251,0,244,0,0,0,,,,0,,0,0,,0
620000,2021-05-15 08:31:53,甘肃,193,0,191,2,0,0,,,,0,,0,0,,0
460000,2021-05-15 09:06:54,海南,188,0,176,6,0,0,,,,0,,11,0,,-11
520000,2021-05-15 08:31:53,贵州,147,0,145,2,0,0,,,,0,,0,0,,0
640000,2021-05-15 08:31:53,宁夏,76,0,75,0,0,0,,,,0,,0,0,,0
820000,2021-05-15 08:31:53,澳门,49,0,49,0,0,0,,,,0,,0,0,,0
630000,2021-05-15 08:31:53,青海,18,0,18,0,0,0,,,,0,,0,0,,0
540000,2021-05-15 08:31:53,西藏,1,0,1,0,0,0,,,,0,,0,0,,0
