id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
9577772,2021-05-15 08:31:52,突尼斯,325280,0,286230,11727,0,0.0,457.0,,1476.0,34.0,,,
9507896,2021-05-15 08:31:53,塞尔维亚,705185,0,0,6646,0,0.0,1688.0,,0.0,0.0,,,
0,2021-05-15 19:37:08,中国,104178,0,98593,4858,0,5824.0,238.0,,37.0,0.0,,204.0,9.0
1,2021-05-15 17:51:59,日本本土,674843,0,584035,11333,0,0.0,1395.0,,4745.0,3.0,,,
2,2021-05-15 15:52:00,泰国,99145,0,26873,565,0,0.0,3095.0,,0.0,17.0,,,
3,2021-05-15 17:51:59,新加坡,61536,0,61047,31,0,0.0,31.0,,18.0,0.0,,,
4,2021-05-15 10:56:59,韩国,131061,0,121282,1896,0,0.0,681.0,,887.0,3.0,,,
5,2021-05-15 15:52:00,澳大利亚,29965,0,23490,910,0,0.0,8.0,,5.0,0.0,,,
6,2021-05-15 20:57:09,德国,3593802,0,3284300,86030,0,0.0,7117.0,,16110.0,162.0,,,
7,2021-05-15 10:11:51,美国,33664013,0,26712821,599314,0,0.0,38285.0,,45622.0,774.0,,,
8,2021-05-15 19:52:00,马来西亚,466330,0,422329,1866,0,0.0,4140.0,,3432.0,44.0,,,
9,2021-05-15 18:52:01,越南,3854,0,2657,36,0,0.0,38.0,,0.0,1.0,,,
89566,2020-06-12 17:03:12,圣巴泰勒米,6,0,6,0,0,,,,,,,,
821,2021-05-15 08:31:52,肯尼亚,165112,0,113432,2976,0,0.0,392.0,,184.0,8.0,,,
826,2021-05-15 08:31:53,伊朗,2732152,0,2196197,76433,0,0.0,10145.0,,0.0,0.0,,,
827,2021-05-15 08:31:52,以色列,839079,0,831898,6380,0,0.0,37.0,,0.0,0.0,,,
828,2020-06-09 19:59:04,毛利亚尼亚,16,0,6,2,0,,,,,,,,
829,2021-05-15 08:31:52,黎巴嫩,534968,0,492270,7569,0,0.0,580.0,,0.0,0.0,,,
833,2021-05-15 19:52:00,克罗地亚,349910,0,335337,7687,0,0.0,826.0,,1131.0,23.0,,,
834,2021-05-15 20:57:09,奥地利,636424,0,614803,10470,0,0.0,644.0,,2280.0,15.0,,,
835,2021-05-15 08:31:52,瑞士,679510,0,317600,10730,0,0.0,2300.0,,0.0,0.0,,,
839,2021-05-15 08:31:52,希腊,373881,0,93764,11322,0,0.0,2169.0,,0.0,56.0,,,
95800,2021-05-15 17:51:59,毛里求斯,1280,0,1131,17,0,0.0,3.0,,1.0,0.0,,,
845,2021-05-15 17:36:58,爱沙尼亚,126922,0,118553,1220,0,0.0,280.0,,545.0,3.0,,,
846,2021-05-15 08:31:52,北马其顿,154524,0,143427,5184,0,0.0,30.0,,358.0,16.0,,,
850,2021-05-15 20:57:09,白俄罗斯,374714,0,365255,2691,0,0.0,1363.0,,1382.0,10.0,,,
851,2021-05-15 15:52:00,立陶宛,264724,0,239702,4088,0,0.0,1249.0,,2271.0,4.0,,,
852,2021-05-15 08:31:53,阿塞拜疆,328994,0,312460,4754,0,0.0,835.0,,0.0,0.0,,,
875097,2020-06-12 17:06:26,美属维尔京群岛,72,0,46,6,0,,,,,,,,
95826,2020-06-15 13:26:49,蒙古,197,0,98,0,0,,,,,,,,
872,2021-05-15 17:36:58,乌克兰,2206627,0,1901897,49881,0,0.0,6919.0,,17254.0,327.0,,,
